label,x,y,plot_type,plot_num
group1,2825.062432128071,12728.437830583658,path,0
group1,3045.352720596196,12728.437830583658,path,0
group1,3282.820615704614,12728.437830583658,path,0
group1,3538.8055780892923,12728.437830583658,path,0
group1,3814.751515695587,12728.437830583658,path,0
group1,4112.214928280692,12728.437830583658,path,0
group1,4432.873687001112,12728.437830583658,path,0
group1,4778.536498607237,12728.437830583658,path,0
group1,5151.153107628758,12728.437830583658,path,0
group1,5552.825294097296,12728.437830583658,path,0
group1,5985.818728840027,12728.437830583658,path,0
group1,6452.575753215158,12728.437830583658,path,0
group1,6955.729155374645,12728.437830583658,path,0
group1,7498.117020760465,12728.437830583658,path,0
group1,8082.798740600131,12728.437830583658,path,0
group1,8713.072268698883,12728.437830583658,path,0
group1,9392.492723867172,12728.437830583658,path,0
group1,10124.892442912265,12728.437830583658,path,0
group1,10914.402597304765,12728.437830583658,path,0
group1,11765.476495450916,12728.437830583658,path,0
group1,12682.914702009577,12728.437830583658,path,0
group1,13671.892115941522,12728.437830583658,path,0
group1,14737.987160027707,12728.437830583658,path,0
group1,15887.213246502686,12728.437830583658,path,0
group1,17126.052696288,12728.437830583658,path,0
group1,18461.49330315049,12728.437830583658,path,0
group1,19901.06774902915,12728.437830583658,path,0
group1,21452.89609285618,12728.437830583658,path,0
group1,23125.731572535147,12728.437830583658,path,0
group1,24929.009978426053,12728.437830583658,path,0
group1,26872.902876833763,12728.437830583658,path,0
group1,28968.374983711878,12728.437830583658,path,0
group1,31227.246012203686,15588.868461101943,path,0
group1,33662.2573428777,15588.868461101943,path,0
group1,36287.14389271755,15588.868461101943,path,0
group1,39116.71158824971,15588.868461101943,path,0
group1,42166.920879804646,15588.868461101943,path,0
group1,45454.97676798109,15588.868461101943,path,0
group1,48999.42585011612,15588.868461101943,path,0
group1,52820.26093416183,15588.868461101943,path,0
group1,56939.03381005296,15588.868461101943,path,0
group1,61378.97681466267,15588.868461101943,path,0
group1,66165.13387604666,15588.868461101943,path,0
group1,71324.50177614186,15588.868461101943,path,0
group1,76886.18242872682,15588.868461101943,path,0
group1,82881.54703158219,15588.868461101943,path,0
group1,89344.41301876616,15588.868461101943,path,0
group1,96311.2348111232,15588.868461101943,path,0
group1,103821.30944097189,15588.868461101943,path,0
group1,111916.99821081688,15588.868461101943,path,0
group1,120643.9656363741,15588.868461101943,path,0
group1,130051.43702168985,15588.868461101943,path,0
group1,140192.4761192299,15588.868461101943,path,0
group1,151124.2844411089,15588.868461101943,path,0
group1,162908.52390975427,15588.868461101943,path,0
group1,175611.66466794358,30286.565967634084,path,0
group2,0.0,703.6059509467746,path,1
group2,103.802497318939,703.6059509467746,path,1
group2,115.6235324450742,703.6059509467746,path,1
group2,128.79074781795228,703.6059509467746,path,1
group2,143.45744653137018,703.6059509467746,path,1
group2,159.79438984538797,703.6059509467746,path,1
group2,177.9917853234352,703.6059509467746,path,1
group2,198.2615013785997,703.6059509467746,path,1
group2,220.83953401259055,703.6059509467746,path,1
group2,245.98875446709556,703.6059509467746,path,1
group2,274.0019697778532,703.6059509467746,path,1
group2,305.2053318648202,703.6059509467746,path,1
group2,339.9621348497477,703.6059509467746,path,1
group2,378.677044812531,703.6059509467746,path,1
group2,421.80081123248664,703.6059509467746,path,1
group2,469.8355149688665,703.6059509467746,path,1
group2,523.3404138817322,703.6059509467746,path,1
