label,x,y,plot_type,plot_num
CH_wild,39138.70511780026,5525.454335609494,path,0
CH_wild,42954.68054978255,5525.454335609494,path,0
CH_wild,47142.70887553494,5525.454335609494,path,0
CH_wild,51739.06479289817,6486.570430689475,path,0
CH_wild,56783.55973797096,6486.570430689475,path,0
CH_wild,62319.88671272431,6486.570430689475,path,0
CH_wild,68395.99873288207,6486.570430689475,path,0
CH_wild,75064.52417400268,6486.570430689475,path,0
CH_wild,82383.22261329165,6486.570430689475,path,0
CH_wild,90415.48511542717,10442.345797952456,path,0
CH_wild,99230.88329563708,10442.345797952456,path,0
CH_wild,108905.77191574727,10442.345797952456,path,0
CH_wild,119523.95023260092,10442.345797952456,path,0
CH_wild,131177.38782713306,10442.345797952456,path,0
CH_wild,143967.02120088233,5566.382471815382,path,0
CH_wild,158003.6280396811,5566.382471815382,path,0
CH_wild,173408.78671697396,5566.382471815382,path,0
CH_wild,190315.9293475275,5566.382471815382,path,0
CH_wild,208871.49751257524,5566.382471815382,path,0
CH_wild,229236.21066673717,12400.772977465505,path,0
CH_wild,251586.45821305033,12400.772977465505,path,0
CH_wild,276115.827303593,12400.772977465505,path,0
CH_wild,303036.7795987873,12400.772977465505,path,0
CH_wild,332582.4915086603,12400.772977465505,path,0
CH_wild,365008.8738553593,12400.772977465505,path,0
CH_wild,400596.78845026775,12400.772977465505,path,0
CH_wild,439654.48078465165,12400.772977465505,path,0
CH_wild,482520.249904646,12400.772977465505,path,0
CH_wild,529565.3785957497,12400.772977465505,path,0
CH_wild,581197.3492566979,12400.772977465505,path,0
CH_wild,637863.3733170629,12400.772977465505,path,0
CH_wild,700054.2647687126,12400.772977465505,path,0
CH_wild,768308.6913618116,12400.772977465505,path,0
CH_wild,843217.8402871734,12400.772977465505,path,0
CH_wild,925430.5387568944,12400.772977465505,path,0
CH_wild,1015658.8738352648,12400.772977465505,path,0
CH_wild,1114684.3601962705,12400.772977465505,path,0
CH_wild,1223364.7092298246,12400.772977465505,path,0
CH_wild,1342641.2581275033,12400.772977465505,path,0
CH_wild,1473547.1232949796,12400.772977465505,path,0
CH_wild,1617216.1487120835,12400.772977465505,path,0
CH_wild,1774892.7267469475,12400.772977465505,path,0
CH_wild,1947942.5764873782,12400.772977465505,path,0
CH_wild,2137864.5729462598,12400.772977465505,path,0
CH_wild,2346303.7295998614,12400.772977465505,path,0
CH_wild,2575065.4467076,12400.772977465505,path,0
CH_wild,2826131.1488254173,12400.772977465505,path,0
CH_wild,3101675.446957367,12400.772977465505,path,0
CH_wild,3404084.973995832,12400.772977465505,path,0
CH_wild,3735979.0565938894,12400.772977465505,path,0
